,date,Title,Amount
777,2020-10-07,People & Blogs,19
778,2020-10-07,Sports,25
779,2020-10-07,Entertainment,37
780,2020-10-07,Music,45
781,2020-10-08,Education,2
782,2020-10-08,Pets & Animals,2
783,2020-10-08,Science & Technology,3
784,2020-10-08,Autos & Vehicles,4
785,2020-10-08,Howto & Style,8
786,2020-10-08,Film & Animation,9
787,2020-10-08,News & Politics,12
788,2020-10-08,Comedy,17
789,2020-10-08,People & Blogs,21
790,2020-10-08,Gaming,22
791,2020-10-08,Sports,25
792,2020-10-08,Entertainment,36
793,2020-10-08,Music,39
794,2020-10-09,Pets & Animals,2
795,2020-10-09,Education,4
796,2020-10-09,Autos & Vehicles,5
797,2020-10-09,Science & Technology,5
798,2020-10-09,Howto & Style,7
799,2020-10-09,Film & Animation,9
800,2020-10-09,News & Politics,10
801,2020-10-09,Comedy,15
802,2020-10-09,People & Blogs,18
803,2020-10-09,Sports,25
804,2020-10-09,Gaming,28
805,2020-10-09,Entertainment,36
806,2020-10-09,Music,36
807,2020-10-10,Pets & Animals,2
808,2020-10-10,Autos & Vehicles,4
809,2020-10-10,Science & Technology,4
810,2020-10-10,Education,6
811,2020-10-10,Howto & Style,7
812,2020-10-10,Film & Animation,9
813,2020-10-10,News & Politics,9
814,2020-10-10,Comedy,12
815,2020-10-10,People & Blogs,19
